商品,店铺,价格,成交量,图片链接,地点
"27英寸
显示器
曲面无边框吃鸡游戏PS4台式电脑液晶显示屏幕HDMI",xforce旗舰店,878.19,2586,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/109534038/TB2kgVVbCzqK1RjSZFLXXcn2XXa_!!0-saturn_solar.jpg,广东 广州
"飞利浦 24英寸
显示
器
243V7 HDMI电竞台式电脑液晶IPS高清
显示
屏幕PS4窄边框防蓝光办公家用",philips显示器旗舰店,759.0,1391,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/2415742114/O1CN011RUFl3mDgu9Ose3_!!0-item_pic.jpg,浙江 温州
"松人24英寸超薄曲面
显示
器
高清电竞吃鸡游戏液晶台式电脑屏幕曲屏",松人旗舰店,629.0,4540,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/1878786536/O1CN011y9XA3AbrjlbORK_!!0-item_pic.jpg,广东 广州
"【前30名669】戴尔U2414H 23.8英寸高清液晶
显示
器
台式电脑屏幕",苏宁易购官方旗舰店,1349.0,152,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2616970884/O1CN01yFKpdg1IOub5A2lCg_!!0-item_pic.jpg,江苏 南京
"Dell/戴尔 23.8英寸微边框IPS高清屏设计游戏液晶
显示
器
U2417H",戴尔官方旗舰店,1599.0,375,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/379092568/O1CN01NbK9Q41UqBZTstAYp_!!0-item_pic.jpg,北京
"【三期免息】戴尔U2417H 23.8英寸IPS屏1080P游戏液晶台式
显示
器",苏宁易购官方旗舰店,1499.0,89,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2616970884/O1CN011IOub4eXXgwn1NN_!!0-item_pic.jpg,江苏 南京
"数捷27英寸2k电竞游戏吃鸡高清屏幕超薄无边框液晶台式电脑
显示
器",数捷旗舰店,980.0,1508,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/3229715046/O1CN011n971Taun2yJoPQ_!!0-item_pic.jpg,广东 广州
"松人27英寸
显示
器
曲面无边框电竞游戏台式电脑液晶
显示
曲屏幕PS4",松人旗舰店,869.0,1603,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/1878786536/O1CN01486Vcr1y9XA3Gfker_!!0-item_pic.jpg,广东 广州
"新品预定新四大金刚宏碁ACER XV272UP电竞游戏设计
显示
器
2K IPS HDR400 95%高色域DCI-P3 144HZ 1ms(VRB)升降",芯众数码专营店,3299.0,106,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/1782090849/O1CN01ckSMwg1I8sjRSvx8H_!!0-item_pic.jpg,上海
"优派VX2758 27寸曲面电竞屏144hz电脑吃鸡hdmi台式液晶游戏
显示
器",viewsonic优派旗舰店,1399.0,242,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/4059889853/O1CN01doHamU2MeiuXr0bb7_!!0-item_pic.jpg,湖北 武汉
"27英寸
显示
器
曲面无边框吃鸡游戏PS4台式电脑液晶
显示
屏幕HDMI",xforce旗舰店,878.19,2586,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/2452319171/O1CN012HcMnGAiMPoynmj_!!0-item_pic.jpg,广东 广州
"惠科WEIYI高清27英寸144HZ
显示
器
电竞游戏吃鸡电脑液晶曲面
显示
屏",weiyi旗舰店,1099.0,260,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3941293140/O1CN01R1bGYR1Z4A7YAUWh7_!!0-item_pic.jpg,河北 石家庄
"【千元皇家神
器
+秒杀价】24寸242M7专业电竞游戏23.6英寸曲面144Hz广色域
显示
器
壁挂学生电竞吃鸡专用
显示
屏",小雪人数码专营店,1199.0,275,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2156068863/TB1SlcsngHqK1RjSZFkXXX.WFXa_!!0-item_pic.jpg,广东 广州
"40 46 50 55寸液晶拼接屏电视墙监控
显示
屏监视
器
无缝led大屏幕49",富沐旗舰店,2688.0,201,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2907509404/O1CN012JL54Gqy6eC07FY_!!0-item_pic.jpg,广东 深圳
"卡迪富 三星40/46/55寸液晶拼接屏幕无缝电视墙大屏LED监控
显示
器",kawden旗舰店,3199.0,284,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/2344274074/TB1WKTYw0knBKNjSZKPXXX6OFXa_!!0-item_pic.jpg,广东 深圳
"【双11狂欢】飞利浦246V6QHSW 24英寸
显示
器
IPS/MVA高清HDMI不闪屏游戏电竞PS4便携液晶电脑
显示
屏幕 非曲面",众献焱数码专营店,699.0,371,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/917116155/O1CN011vL2G87RtzQ2w3t_!!0-item_pic.jpg,上海
"【PGI用机】明基ZOWIE GEAR卓威 奇亚24英寸XL2411P电竞屏绝地求生 吃鸡1ms电脑液晶游戏144hz
显示
器
XL2411",明基旗舰店,1899.0,214,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/672165860/O1CN011t9vQ6PHb8OnETB_!!0-item_pic.jpg,江苏 苏州
